MKey,AircraftNumber,DamageLevel,RegistrationNumber,AircraftCategory,AircraftMake,AircraftModel,RegulationFlightConductedUnder,PurposeOfFlight,IntentionalAct,PhaseOfFlight,DefiningEvent
82591,1,Substantial,N45WM,Airplane,MCADAM W E,CHRISTEN EAGLE II,Part 91: General aviation,Personal,,Landing,Aerodrome
82595,1,Substantial,N667JH,Airplane,HANEY JOHN F B,SEASTAR XP,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
82599,1,Substantial,N8282P,Airplane,PIPER,PA-34-200T,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82603,1,Substantial,N171GS,Airplane,MAULE,M-5-180C,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82607,1,Substantial,N9021R,Helicopter,CONTINENTAL COPTERS INC.,47G2,Part 91: General aviation,Aerial observation,,Maneuvering,System/Component Failure - Non-power
82615,1,Substantial,N120J,Airplane,BUTLER JOHN R,SX 300,Part 91: General aviation,Personal,,Takeoff,Other
82616,1,Substantial,N54872,Airplane,CESSNA,172P,Public aircraft,Public aircraft,,Landing,Collision on Takeoff or Landing
82621,1,Substantial,N5768W,Airplane,PIPER,PA-28-160,Part 91: General aviation,Instructional,,Approach,System/Component Failure - Powerplant
82623,1,Substantial,N247DY,Airplane,CZECH SPORTPLANES SRO,DYNAMIC WT9,Part 91: General aviation,Personal,,Taxi,Loss of Control on Ground
82624,1,Substantial,N104RM,Airplane,PIPER,AEROSTAR 601P,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82632,1,Substantial,N8066U,Helicopter,ROBINSON HELICOPTER,R22 BETA,Part 91: General aviation,Instructional,,Uncontrolled Descent,Other
82635,1,Substantial,N77859,Airplane,LUSCOMBE,8A,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82645,1,Substantial,N4175V,Airplane,PIPER,PA28,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82646,1,Destroyed,N4626,Airplane,BOWERS FLY BABY,1-A,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82648,1,Substantial,N127AK,Airplane,AVIAT,A1,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
82660,1,Substantial,N330BL,Airplane,Sanderson,Pitts Special SPS-1,Part 91: General aviation,Personal,,Enroute,Fuel Related
82661,1,Substantial,N11HY,Airplane,Aviat Aircraft Inc,A-1C-180,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82665,1,Substantial,N723EA,Airplane,CIRRUS DESIGN CORP,SR22,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
82669,1,Substantial,N4041J,Airplane,CESSNA,150G,Part 91: General aviation,Instructional,,Initial Climb,System/Component Failure - Powerplant
82671,1,Substantial,N3902V,Powered parachute,INFINITY POWER PARACHUTES LLC,CLASSIC 2002,Part 91: General aviation,Personal,,Takeoff,Loss of Lift
82672,1,Substantial,N9952Q,Airplane,PIPER,PA-18-135,Part 91: General aviation,Instructional,,Landing,Runway Excursion
82677,1,Substantial,N60676,Airplane,CESSNA,150J,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82682,1,Substantial,N409EV,Airplane,EVEKTOR-AEROTECHNIK AS,SPORTSTAR,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82683,1,Substantial,N7648P,Airplane,PIPER,PA-24-180,Part 91: General aviation,Instructional,,Enroute,Loss of Control In-Flight
82684,1,Substantial,N700PS,Airplane,Aerostar Aircraft Corporation,PA-60-601P,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82688,1,Substantial,N524HW,Airplane,AERO COMMANDER,500-B,Part 91: General aviation,Positioning,,Enroute,System/Component Failure - Powerplant
82691,1,Substantial,N714BS,Airplane,CESSNA,150M,Part 91: General aviation,Personal,,Maneuvering,System/Component Failure - Powerplant
82694,1,Substantial,N262RW,Airplane,MOONEY AIRCRAFT CORP.,M20K,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
82704,1,Substantial,N369TL,Helicopter,ROBINSON,R44 II,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82705,1,Substantial,N35571,Airplane,CESSNA,172I,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
82708,1,Substantial,N16RZ,Airplane,AERO VODOCHODY,L39C,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82713,1,Substantial,N582MS,Airplane,M-SQUARED AIRCRAFT,BREESE 2,Part 91: General aviation,Instructional,,Initial Climb,System/Component Failure - Non-power
82714,1,Substantial,N73JK,Airplane,CESSNA,150G,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82715,1,Substantial,N66540,Airplane,CESSNA,172P,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82716,1,Substantial,N64270,Airplane,CESSNA,172M,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82721,1,Substantial,N513CW,Airplane,PIPER,PA-32RT-300,Part 91: General aviation,Personal,,Takeoff,Loss of Control In-Flight
82730,1,Substantial,N3435T,Airplane,CESSNA,177A,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82734,1,Substantial,N4510T,Helicopter,ROBINSON HELICOPTER COMPANY,R44 II,Part 133: Rotorcraft ext. load,External load,,Standing,Ground Handling
82744,1,Substantial,N358CC,Airplane,BEECH,58,Part 91: General aviation,Executive/Corporate,,Landing,Runway Excursion
82746,1,Substantial,N7130U,Airplane,CESSNA,210E,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
82755,1,Substantial,N340HF,Airplane,CESSNA,340A,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
82756,1,Substantial,N713C,Airplane,HELIO,H-295,Part 91: General aviation,Positioning,,Landing,Abnormal Runway Contact
82757,1,Substantial,N4297S,Airplane,PIPER,PA-28-181,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
82758,1,Substantial,N811P,Airplane,CESSNA,172L,Part 91: General aviation,Personal,,Landing,Runway Excursion
82760,1,Substantial,N1352T,Airplane,PIPER,PA-28-180,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
82762,1,Substantial,N761HW,Airplane,CESSNA,T210M,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
82771,1,Substantial,N17873,Glider,SCHWEIZER,SGS 2-33A,Part 91: General aviation,Instructional,,Enroute,Glider Towing
82772,1,None,N746R,Airplane,PIPER,PA-28R-200,Part 91: General aviation,Personal,,Standing,Ground Handling
82774,1,Substantial,N3242D,Airplane,CESSNA,180,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82776,1,Substantial,N30DC,Airplane,PIPER,PA-31-310,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
82784,1,Substantial,N133LS,Airplane,REMOS AIRCRAFT GMBH,G-3/600,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82789,1,Substantial,N2677A,Airplane,PIPER,PA-22-135,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82794,1,Substantial,N15791,Airplane,PIPER,PA-28-140,Part 91: General aviation,Instructional,,Landing,Undershoot/Overshoot
82804,1,Substantial,N5026C,Airplane,CESSNA,172S,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
82808,1,Substantial,N6564V,Airplane,BELLANCA,17-30,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82809,1,Destroyed,N321LC,Airplane,GARZA,LANCAIR IV-TP,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82812,1,Substantial,N3879S,Airplane,CESSNA,172E,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
82813,1,Substantial,N445GH,Airplane,CESSNA,T206H,Part 91: General aviation,Personal,,Initial Climb,Unintended Flight Into IMC
82814,1,Substantial,N38906,Airplane,PIPER,PA-28R-201T,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
82815,1,Substantial,N7582D,Airplane,CESSNA,172N,Part 91: General aviation,Personal,,Maneuvering,Low Altitude Operation
82818,1,Substantial,N3671Z,Airplane,PIPER,PA-18,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82819,1,Substantial,N325MZ,Glider,Pipistrel,Virus 912,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
82820,1,Substantial,N580TC,Airplane,BEECH,58P,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82826,1,Substantial,N61ZT,Glider,MOORE BYRON J,ZEALOT,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
82835,1,Substantial,N5687F,Airplane,ALON,A2,Part 91: General aviation,Personal,,Standing,Loss of Control on Ground
82837,1,Substantial,N4592R,Airplane,PIPER,PA-28-140,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82839,1,Substantial,N701CF,Airplane,AEROPRO CZ,EUROFOX LSA,Part 91: General aviation,Instructional,,Taxi,Loss of Control on Ground
82842,1,Substantial,N31WS,Airplane,GATES LEAR JET,35,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
82854,1,Substantial,N902SF,Helicopter,"Arrow Falcon Exporters, Inc.",OH-58A,Part 137: Agricultural,Aerial application,,Takeoff,System/Component Failure - Non-power
82855,1,Substantial,N5100R,Airplane,CESSNA,172M,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
82856,1,Substantial,N6062E,Airplane,CESSNA,T182T,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
82857,1,Substantial,N8293J,Airplane,VARGA AIRCRAFT CORP.,2150A,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
82860,1,Substantial,N850LM,Airplane,SOCATA,TBM 700,Part 91: General aviation,Personal,,Takeoff,Loss of Control In-Flight
82861,1,Substantial,N9619T,Airplane,CESSNA,210,Part 91: General aviation,Other work use,,Enroute,Controlled Flight Into Terrain
82862,1,Substantial,N5427J,Airplane,CESSNA,172N,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82867,1,Substantial,N20536,Helicopter,SCHWEIZER,269C,Part 91: General aviation,Instructional,,Maneuvering,Loss of Control In-Flight
82869,1,Substantial,N1155C,Airplane,PIPER,PA-18-135,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82877,1,Substantial,N2SA,Airplane,GULFSTREAM AEROSPACE,G-IV,"Non-U.S., non-commercial",Personal,,Unknown,Unknown
82881,1,Substantial,N4851W,Airplane,ROCKWELL INTERNATIONAL,114,Part 91: General aviation,Personal,,Landing,Runway Excursion
82885,1,Substantial,N67973,Airplane,CESSNA,152,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
82888,1,Substantial,N5511L,Helicopter,ROBINSON HELICOPTER,R44,Part 91: General aviation,Instructional,,Emergency Descent,Other
82889,1,Substantial,N46279,Airplane,CESSNA,172I,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82893,1,Substantial,N4894X,Airplane,ROCKWELL INTERNATIONAL,S-2R,Part 91: General aviation,Other work use,,Landing,Abnormal Runway Contact
82896,1,Substantial,N7147P,Airplane,PIPER,PA-24-250,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Non-power
82897,1,Substantial,N665SP,Airplane,CESSNA,172S,Part 91: General aviation,Personal,,Enroute,Controlled Flight Into Terrain
82898,1,Substantial,N2696C,Airplane,CESSNA,R182,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82901,1,Substantial,N4824L,Airplane,PIPER,PA-28-180,Part 91: General aviation,Personal,,Maneuvering,Low Altitude Operation
82902,1,Substantial,N3688W,Airplane,PIPER,PA-32-260,Part 91: General aviation,Personal,,Enroute,Fuel Related
82906,1,Substantial,N9460Q,Airplane,BEECH,58,Part 91: General aviation,Personal,,Landing,Runway Excursion
82909,1,Substantial,N407HL,Helicopter,BELL,407,Public aircraft,Public aircraft,,Maneuvering,Loss of Control In-Flight
82913,1,Substantial,N5664N,Airplane,MAULE,MX-7-235,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82915,1,Substantial,N197LE,Helicopter,BELL,AH-1F,Part 91: General aviation,Business,,Maneuvering,System/Component Failure - Non-power
82917,1,Substantial,N367MR,Airplane,MOONEY,M20J,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
82918,1,Substantial,N118RZ,Airplane,MOONEY AIRPLANE CO INC,M20TN,Part 91: General aviation,Personal,,Landing,Loss of Control In-Flight
82919,1,Substantial,N56180,Airplane,CESSNA,180,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82920,1,Substantial,N4772A,Airplane,CESSNA,414A,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
82924,1,Substantial,N6194V,Airplane,CESSNA,172S,Part 91: General aviation,Instructional,,Landing,Wildlife Encounter
82925,1,Substantial,N60276,Airplane,CESSNA,150J,Part 91: General aviation,Instructional,,Approach,Fuel Related
82926,1,Substantial,N7508Y,Helicopter,ROBINSON HELICOPTER,R22 BETA,Part 91: General aviation,Personal,,Enroute,Midair
82926,2,Substantial,N433JC,Airplane,BEECH,35-A33,Part 91: General aviation,Personal,,Enroute,Midair
82927,1,Substantial,N5205M,Airplane,BEECH,C23,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82928,1,Substantial,N51727,Helicopter,ENSTROM,F28,Part 91: General aviation,Instructional,,Emergency Descent,System/Component Failure - Powerplant
82939,1,Substantial,N1WE,Airplane,PIPER,PA-30,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82941,1,Substantial,N506SP,Airplane,CESSNA,172S,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
82942,1,Substantial,N6147B,Airplane,CESSNA,182A,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
82944,1,Substantial,N4624A,Airplane,BEECH,95-B55 ,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
82946,1,Substantial,N47863,Airplane,PIPER,PA-32R-300,Part 91: General aviation,Personal,,Approach,Controlled Flight Into Terrain
82947,1,Substantial,N8433V,Airplane,ROCKWELL INTERNATIONAL,S-2R,Part 137: Agricultural,Other work use,,Landing,Loss of Control on Ground
82949,1,Destroyed,N215BD,Airplane,CRAIN JAC A,BD-4,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82950,1,Substantial,N72PD,Airplane,HAYCRAFT,SPORT HORNET,Part 91: General aviation,Personal,,Enroute,Fire - Non-Impact
82951,1,Substantial,N6451C,Airplane,AERONCA,7BCM,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82953,1,Substantial,N4737D,Airplane,CESSNA,172N,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
82956,1,Substantial,N43921,Helicopter,TEXAS HELICOPTER CORP,OH-13E/M74,Part 137: Agricultural,Aerial application,,Maneuvering,System/Component Failure - Non-power
82958,1,Substantial,N3SM,Airplane,CESSNA,180H,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
82963,1,Substantial,N99EZ,Airplane,BEECH,58,Part 91: General aviation,Personal,,Approach,Fuel Related
82967,1,Substantial,N53589,Airplane,CESSNA,172S,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
82969,1,Substantial,N54BA,Helicopter,ROBINSON HELICOPTER,R22 BETA,Part 91: General aviation,Instructional,,Landing,Collision on Takeoff or Landing
82970,1,Substantial,N9224M,Airplane,MOONEY,M20E,Part 91: General aviation,Positioning,,Initial Climb,Loss of Control In-Flight
82971,1,Substantial,N118MB,Helicopter,EUROCOPTER,AS 350 B3,Part 91: General aviation,Positioning,,Landing,Abnormal Runway Contact
82972,1,Substantial,N1193S,Airplane,STROUT FRANK,AVENTURA II,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
82981,1,Substantial,N59661,Airplane,PIPER,PA-36-300,Part 91: General aviation,Flight test,,Landing,Loss of Control on Ground
82983,1,Substantial,N3196F,Airplane,CESSNA,R172E,Part 91: General aviation,Business,,Taxi,Loss of Control on Ground
82991,1,Substantial,N1213C,Airplane,PIPER,PA-22-135,Part 91: General aviation,Personal,,Standing,Ground Collision
82994,1,Substantial,N544SR,Airplane,CIRRUS DESIGN CORP,SR22,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
83000,1,Substantial,N1701L,Airplane,LESTER ROBERT E,KR-2,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
83001,1,Destroyed,N273TE,Airplane,HEMP TIMOTHY,LEGACY 2000,Part 91: General aviation,Personal,,Maneuvering,Other
83004,1,Substantial,N20GG,Airplane,PIPER,PA-28-161,Part 91: General aviation,Instructional,,Enroute,System/Component Failure - Powerplant
83005,1,Substantial,N38FA,Helicopter,BELL,OH-58A,Part 91: General aviation,Instructional,,Emergency Descent,Abnormal Runway Contact
83006,1,Substantial,N45TT,Airplane,AVIAT AIRCRAFT INC,A-1C-200,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83016,1,Destroyed,N6YY,Airplane,CESSNA,T210N,"Non-U.S., non-commercial",Other/Unknown,,Unknown,Unknown
83019,1,Destroyed,N288CX,Airplane,CESSNA,750,"Non-U.S., non-commercial",Business,,Unknown,Unknown
83021,1,Substantial,N341HP,Helicopter,EUROCOPTER,AS 350 B3,Public aircraft,Public aircraft,,Emergency Descent,Abnormal Runway Contact
83022,1,Substantial,N350TP,Airplane,SIAI-MARCHETTI,SF.260TP,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83025,1,Substantial,N518F,Airplane,AMERICAN CHAMPION AIRCRAFT,7GCAA,Part 91: General aviation,Instructional,,Approach,Collision on Takeoff or Landing
83026,1,Destroyed,N167ZP,Airplane,CESSNA AIRCRAFT CO,LC42-550FG,Part 91: General aviation,Personal,,Enroute,Unintended Flight Into IMC
83027,1,Substantial,N486KC,Airplane,MOONEY,M20M,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
83032,1,Substantial,N41017,Airplane,BOWERS FLY BABY,1-A,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
83033,1,Substantial,N1111V,Airplane,SKEETER,1M,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
83042,1,Substantial,N5542K,Airplane,BELLANCA,7GCBC,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
83047,1,Substantial,N53460,Airplane,CESSNA,172S,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
83049,1,Substantial,N83AP,Helicopter,BELL,206B,Part 91: General aviation,Instructional,,Takeoff,Loss of Control on Ground
83050,1,Substantial,N5286H,Airplane,CESSNA,172M,Part 91: General aviation,Personal,,Landing,Runway Excursion
83053,1,Substantial,N200ZA,Airplane,ZENAIR LTD,CH 2000,Part 91: General aviation,Instructional,,Takeoff,Loss of Control on Ground
83057,1,Destroyed,N404AX,Airplane,ISRAEL AIRCRAFT INDUSTRIES,F21-C2,Public aircraft,Public aircraft,,Approach,Fuel Related
83058,1,Substantial,N5693C,Airplane,CESSNA,140A,Part 91: General aviation,Personal,,Landing,System/Component Failure - Non-power
83064,1,Substantial,N1338S,Airplane,CESSNA,182P,Part 91: General aviation,Personal,,Unknown,Unknown
83067,1,Substantial,N1099N,Helicopter,SIKORSKY AIRCRAFT CORPORATION,269C,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Non-power
83068,1,Substantial,N9148C,Airplane,AIR TRACTOR INC,AT-502B,Part 137: Agricultural,Aerial application,,Taxi,Loss of Control on Ground
83069,1,Substantial,N6849B,Airplane,PIPER,PA-22-150,Part 91: General aviation,Personal,,Enroute,Fuel Related
83073,1,Substantial,N6974L,Airplane,CESSNA,310K,Part 91: General aviation,Personal,,Standing,Fire - Non-Impact
83079,1,Substantial,N101MZ,Helicopter,AEROSPATIALE,AS 355F1,Part 133: Rotorcraft ext. load,External load,,Maneuvering,System/Component Failure - Powerplant
83080,1,Substantial,N2986P,Airplane,PIPER,PA-18-150,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
83081,1,Substantial,N702U,Airplane,QUICKSILVER,MX SPRINT II,Part 91: General aviation,Personal,,Landing,Undershoot/Overshoot
83082,1,Substantial,N5290D,Airplane,CESSNA,172N,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83083,1,Substantial,N4083Y,Airplane,PIPER,PA-31-350,Part 91: General aviation,Executive/Corporate,,Enroute,Bird Strike
83084,1,Substantial,N444VR,Airplane,CIRRUS DESIGN CORP,SR22,Part 91: General aviation,Instructional,,Enroute,System/Component Failure - Powerplant
83087,1,Substantial,N7DF,Airplane,AMERICAN CHAMPION AIRCRAFT,8KCAB,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
83088,1,Substantial,N6697L,Airplane,BEECH,76,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
83089,1,Substantial,N4143C,Airplane,STINSON,108-3,Part 91: General aviation,Personal,,Approach,Controlled Flight Into Terrain
83106,1,Substantial,N3424Y,Airplane,CESSNA,180H,Part 91: General aviation,Personal,,Landing,System/Component Failure - Non-power
83114,1,Substantial,N738QF,Airplane,CESSNA,172N,Part 91: General aviation,Personal,,Maneuvering,Low Altitude Operation
83121,1,Substantial,N8245A,Airplane,CESSNA,170B,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83122,1,Substantial,N2275R,Airplane,CESSNA,T210J,Part 91: General aviation,Personal,,Enroute,Fuel Related
83127,1,Substantial,N627RM,Airplane,BRICE RON,GLASTAR SPORTSMAN 2+,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
83128,1,Substantial,N103SH,Glider,BURKHART GROB,G-103A TWIN II ACRO,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
83130,1,Substantial,N712AZ,Airplane,Cook,Smith AVN Replica SU,Part 91: General aviation,Ferry,,Landing,Loss of Control on Ground
83136,1,Substantial,N18677,Airplane,CESSNA,150L,Part 91: General aviation,Instructional,,Maneuvering,Controlled Flight Into Terrain
83139,1,Substantial,N7700T,Airplane,CESSNA,501,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83140,1,Destroyed,N153JR,Airplane,CONVAIR,440 - NO SERIES,"Part 125: 20+ pax,6000+ lbs",Other/Unknown,,Approach,Loss of Control In-Flight
83141,1,Substantial,N105KM,Helicopter,MICHAEL S/MICHAEL K,SAFARI,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
83142,1,Substantial,N718PP,Airplane,EMERAUDE,CP-301-A,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
83145,1,Substantial,N5649B,Airplane,CESSNA,182,Part 91: General aviation,Skydiving,,Standing,Ground Handling
83146,1,Substantial,N57194,Balloon,RAVEN INDUSTRIES INC,S-66A,Part 91: General aviation,Other work use,,Approach,Collision on Takeoff or Landing
83147,1,Substantial,N832KF,Airplane,PIPER,PA-28-151,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
83148,1,Substantial,N379CT,Airplane,FLIGHT DESIGN GMBH,CTSW,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
83150,1,Substantial,N756CL,Airplane,CESSNA,U206G,Part 91: General aviation,Business,,Takeoff,Collision on Takeoff or Landing
83152,1,Substantial,N364AB,Airplane,BEECH,B36,Part 91: General aviation,Positioning,,Enroute,Controlled Flight Into Terrain
83153,1,Substantial,N290SH,Helicopter,ROBINSON HELICOPTER,R22 BETA,Part 91: General aviation,Instructional,,Approach,Loss of Control In-Flight
83154,1,Substantial,N158EA,Airplane,PIPER,PA-28-161,Part 91: General aviation,Personal,,Takeoff,Loss of Control In-Flight
83156,1,Substantial,N6113Y,Airplane,SADLER TERRY A,MERLIN,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
83157,1,Substantial,N56273,Airplane,Piper,PA-28R-200,Part 91: General aviation,Instructional,,Landing,Loss of Control In-Flight
83160,1,Substantial,N185GS,Airplane,CESSNA,A185F,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83161,1,Substantial,N14643,Balloon,FIREFLY BALLOONS INC,FIREFLY 8,Part 91: General aviation,Skydiving,,Enroute,Windshear/Thunderstorm
83163,1,Substantial,N3779T,Airplane,PIPER,PA-28R-180,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
83164,1,Substantial,N987KB,Airplane,BOEHLKE KEVIN P,2/3 SCALE JENNY,Part 91: General aviation,Personal,,Taxi,Loss of Control on Ground
83166,1,Substantial,N79509,Airplane,CESSNA,172K,Part 91: General aviation,Instructional,,Enroute,System/Component Failure - Powerplant
83167,1,Substantial,N104LP,Helicopter,BELL,206L-3,Part 91: General aviation,Business,,Takeoff,Loss of Control on Ground
83168,1,Substantial,N5551M,Airplane,AERO COMMANDER,100,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
83169,1,Substantial,N3225N,Airplane,PIPER,J3C-65,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83170,1,Substantial,N915ER,Airplane,DIAMOND AIRCRAFT IND INC,DA 42,Part 91: General aviation,Instructional,,Enroute,Bird Strike
83174,1,Substantial,N801RC,Airplane,BELLANCA,17-30A,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
83177,1,Substantial,N30770,Airplane,CESSNA,177B,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
83183,1,Substantial,N46492,Airplane,CESSNA,172K,Part 91: General aviation,Instructional,,Enroute,System/Component Failure - Powerplant
83184,1,Substantial,N15764,Airplane,PIPER,PA-28R-200,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
83185,1,Substantial,N629BJ,Airplane,GRIMM,RV-9A,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
83186,1,Substantial,N8421R,Airplane,Piper,PA-28-140,Part 91: General aviation,Instructional,,Takeoff,Loss of Control on Ground
83187,1,Substantial,N3871N,Airplane,BEECH,35,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Non-power
83189,1,Substantial,N2389P,Airplane,Piper,PA-22-150,Part 91: General aviation,Personal,,Approach,Controlled Flight Into Terrain
83191,1,Substantial,N55634,Airplane,PIPER,PA-28-140,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
83193,1,Substantial,N9140M,Airplane,MOONEY,M20M,Part 91: General aviation,Personal,,Approach,Other
83194,1,Substantial,N617G,Airplane,REICH,GLASTAR,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Non-power
83195,1,Substantial,N82406,Airplane,AERONCA,7AC,Part 91: General aviation,Instructional,,Takeoff,Loss of Control on Ground
83199,1,Substantial,N166SE,Airplane,DIAMOND AIRCRAFT IND INC,DA 20-C1,Part 91: General aviation,Instructional,,Approach,System/Component Failure - Powerplant
83200,1,Substantial,N58135,Airplane,MOONEY,M20J,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
83203,1,Substantial,N201QB,Airplane,MOONEY,M20J,Part 91: General aviation,Positioning,,Landing,Loss of Control on Ground
83204,1,Substantial,N21EP,Airplane,PIPER,PA46,Part 91: General aviation,Personal,,Takeoff,Collision on Takeoff or Landing
83205,1,Substantial,N840JC,Airplane,ROCKWELL INTERNATIONAL,690C,Part 91: General aviation,Other work use,,Landing,Loss of Control on Ground
83206,1,Substantial,N31PB,Helicopter,BELL,407,Public aircraft,Public aircraft,,Unknown,Loss of Lift
83207,1,Substantial,N528DJ,Airplane,NEW KOLB AIRCRAFT CO,MARK III CLASSIC,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
83208,2,Substantial,N9325C,Airplane,CESSNA,180,Part 91: General aviation,Personal,,Enroute,Midair
83208,1,Substantial,N10468,Airplane,CESSNA,172S,Part 91: General aviation,Instructional,,Enroute,Midair
