MKey,AircraftNumber,DamageLevel,RegistrationNumber,AircraftCategory,AircraftMake,AircraftModel,RegulationFlightConductedUnder,PurposeOfFlight,IntentionalAct,PhaseOfFlight,DefiningEvent
84842,1,Substantial,N71314,Weight-shift,TOP DOG,TD2,Part 91: General aviation,Personal,,Landing,Collision on Takeoff or Landing
84843,1,Substantial,N2909A,Airplane,CESSNA,180,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
84846,1,Substantial,N3082E,Airplane,CESSNA,172,Part 91: General aviation,Instructional,,Landing,Wildlife Encounter
84847,1,Substantial,N71BM,Airplane,BEECH,95-A55,Part 91: General aviation,Instructional,,Landing,Loss of Control In-Flight
84848,1,Substantial,N4316Z,Airplane,PIPER,PA-18-150,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
84850,1,Substantial,N1486P,Airplane,PIPER,PA-23-150,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84853,1,Substantial,N49363,Airplane,AVIAT INC,A-1,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84854,1,Substantial,N5152E,Weight-shift,Trick Trikes,STSS,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
84855,1,Substantial,N23960,Airplane,AIR TRACTOR INC,AT-301,Part 137: Agricultural,Aerial application,,Maneuvering,System/Component Failure - Powerplant
84856,1,Substantial,N4849E,Airplane,CHAMPION,7FC,Part 91: General aviation,Personal,,Approach,Other
84857,1,Substantial,N52187,Airplane,CESSNA,180J,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
84859,1,Minor,N3013T,Balloon,ARBC INC DBA LINDSTRAND,180A,Part 91: General aviation,Other work use,,Landing,Abnormal Runway Contact
84862,1,Substantial,N4922T,Airplane,PIPER,PA-28R-200,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
84864,1,Substantial,N84KF,Airplane,MUDGE RAY,KIT FOX 5,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
84865,1,Substantial,N651AM,Airplane,AIRCRAFT MFG & DEVELOPMENT CO,CH 2000,Part 91: General aviation,Instructional,,Approach,Loss of Control In-Flight
84867,1,Substantial,N2481P,Airplane,QUAD CITY ULTRALIGHTS,CHALLENGER II,Part 91: General aviation,Personal,,Unknown,System/Component Failure - Non-power
84871,1,Substantial,N11SP,Helicopter,BELL,407,Public aircraft,Public aircraft,,Enroute,Abrupt Maneuver
84872,1,Substantial,N57511,Airplane,BELLANCA,7GCBC,Part 91: General aviation,Personal,,Enroute,Controlled Flight Into Terrain
84874,1,Substantial,N3031M,Airplane,PIPER,PA-12,Part 91: General aviation,Aerial observation,,Maneuvering,Loss of Control In-Flight
84875,1,Substantial,N391R,Airplane,CESSNA,172M,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84876,1,Substantial,N221DV,Airplane,CIRRUS DESIGN CORP,SR22,Part 91: General aviation,Instructional,,Landing,Loss of Control In-Flight
84877,1,Substantial,N70415,Helicopter,JOHNSTON DOUGLAS S,SAFARI,Part 91: General aviation,Personal,,Maneuvering,Fuel Related
84878,1,Substantial,N309PA,Airplane,PIPER,PA-28-181,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
84879,1,Substantial,N3946Q,Airplane,CESSNA,A185F,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
84880,1,Substantial,N132PC,Airplane,MOONEY,M20J,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84881,1,Substantial,N300ZX,Airplane,CESSNA,177RG,Part 91: General aviation,Personal,,Landing,Unknown
84882,1,Substantial,N5458N,Airplane,CESSNA,182R,Part 91: General aviation,Personal,,Landing,Runway Excursion
84883,1,Substantial,N346PE,Airplane,EASTON,SEAREY,Part 91: General aviation,Personal,,Approach,Other
84884,1,Substantial,N365R,Airplane,RIDGE LOWELL H,Jabiru J230,Public aircraft,Public aircraft,,Enroute,System/Component Failure - Powerplant
84885,1,Substantial,N761YN,Airplane,CESSNA,T210M,Part 91: General aviation,Personal,,Enroute,Fuel Related
84887,1,Substantial,N611CK,Helicopter,CROMAN CORPORATION,SH-3H,Part 91: General aviation,Firefighting,,Maneuvering,Other
84888,1,Substantial,N347JP,Airplane,PIGGOTT JOHN H,BEARHAWK,Part 91: General aviation,Personal,,Landing,Loss of Control In-Flight
84889,1,Substantial,N42014,Airplane,CESSNA,182L,Part 91: General aviation,Personal,,Landing,Runway Excursion
84890,1,Substantial,N353LS,Airplane,MAULE,MXT-7-180A,Part 91: General aviation,Personal,,Landing,Loss of Control In-Flight
84891,1,Substantial,N3700V,Airplane,CESSNA,150M,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
84892,1,Substantial,N7321E,Airplane,CESSNA,210,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84893,1,Substantial,N4QC,Airplane,BEECH,95-55,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
84894,1,Substantial,N1299R,Airplane,BELLANCA,14-19-3,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84895,1,Substantial,N9764J,Airplane,SKYKITS USA CORP,SAVANNAH ADV,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
84898,1,Substantial,N2005E,Airplane,TAYLORCRAFT AVIATION CORP.,F21,Part 91: General aviation,Personal,,Takeoff,System/Component Failure - Powerplant
84899,1,Substantial,N82016,Airplane,PIPER,PA-18-150,Part 91: General aviation,Personal,,Maneuvering,Controlled Flight Into Terrain
84900,1,Substantial,N9771E,Airplane,AERONCA,11AC,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
84903,1,Substantial,N378X,Airplane,MAULE,M-5-210C,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
84907,1,Substantial,N32JA,Airplane,ARVOLD JORDON R,CH 750,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
84911,1,Destroyed,N396BK,Airplane,BORDELON BRUCE,KITFOX IV,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
84915,1,Substantial,N5642Q,Airplane,MOONEY,M20E,Part 91: General aviation,Personal,,Takeoff,Loss of Control In-Flight
84916,1,Substantial,N152BA,Airplane,CESSNA,152,Part 91: General aviation,Instructional,,Approach,System/Component Failure - Powerplant
84917,1,Substantial,N904LA,Airplane,EVEKTOR-AEROTECHNIK AS,SPORTSTAR,Part 91: General aviation,Personal,,Taxi,System/Component Failure - Non-power
84918,1,Substantial,N82383,Airplane,AERONCA,7AC,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
84919,1,Destroyed,N139GS,Airplane,AERO VODOCHODY,L39C,Part 91: General aviation,Air race/show,,Maneuvering,Loss of Control In-Flight
84920,1,Substantial,N995LS,Airplane,FLIGHT DESIGN GMBH,CTLS,Part 91: General aviation,Instructional,,Maneuvering,Loss of Control In-Flight
84921,1,Substantial,N67178,Airplane,CESSNA,180,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
84922,1,Substantial,N5981J,Airplane,CESSNA,182P,Public aircraft,Aerial observation,,Approach,Turbulence Encounter
84924,1,Substantial,N377SP,Airplane,CESSNA,172E,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
84925,1,Substantial,N178CH,Helicopter,AEROSPATIALE,AS350 B2,Part 133: Rotorcraft ext. load,External load,,Standing,Other
84928,1,Substantial,N5489X,Glider,BURKHART GROB,G 103 TWIN II,Part 91: General aviation,Glider tow,,Takeoff,Loss of Control In-Flight
84929,1,Substantial,N4127Z,Airplane,PIPER,PA-18-150,Part 91: General aviation,Personal,,Initial Climb,Other
84930,1,Substantial,N69924,Airplane,CESSNA,421B,Part 91: General aviation,Business,,Takeoff,Loss of Control In-Flight
84931,1,Substantial,N4454D,Airplane,BEECH,G35,Part 91: General aviation,Personal,,Enroute,Turbulence Encounter
84936,1,Substantial,N61819,Airplane,CHAMPION,7GC,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
84937,1,Substantial,N244GR,Airplane,NORTH AMERICAN,AT-6F,Part 91: General aviation,Instructional,,Landing,Loss of Control on Ground
84940,1,Substantial,N27UP,Glider,ROLLADEN-SCHNEIDER OHG,LS3-A,Part 91: General aviation,Personal,,Landing,Loss of Control In-Flight
84941,1,Substantial,N795MC,Airplane,Lake John K,MA-5 Charger,Part 91: General aviation,Personal,,Landing,Runway Excursion
84942,1,Substantial,N34SR,Airplane,CESSNA,182F,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
84943,1,Substantial,N8260T,Airplane,CESSNA,175B,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
84945,1,Substantial,N21214,Airplane,CESSNA,172M,Part 91: General aviation,Instructional,,Maneuvering,Fuel Related
84947,1,Substantial,N237TA,Airplane,COSTRUZIONI AERONAUTICHE TECNA,P92 TAIL DRAGGER,Part 91: General aviation,Ferry,,Takeoff,Loss of Control on Ground
84949,1,Substantial,N308DF,Airplane,PIPER,PA-32-300,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84950,1,Substantial,N4798Z,Airplane,PIPER,PA-22-108,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Non-power
84951,1,Substantial,N4258M,Powered parachute,HANDY JAMES L,BUCKEYE DREAM MACH,Part 91: General aviation,Personal,,Initial Climb,Controlled Flight Into Terrain
84952,1,Substantial,N6716L,Airplane,BEECH,76,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
84953,1,Substantial,N3615M,Airplane,PIPER,PA-12,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
84954,1,Substantial,N1126V,Airplane,FAIRLEY GOOCH,LANCAIR IV,Part 91: General aviation,Flight test,,Approach,Loss of Control In-Flight
84955,1,Substantial,N53MH,Airplane,HANSEN,HANSEN-VANS RV-6,Part 91: General aviation,Instructional,,Enroute,System/Component Failure - Non-power
84957,1,Substantial,N4020A,Airplane,AYRES CORPORATION,S2R-R1340,Part 137: Agricultural,Aerial application,,Unknown,Unknown
84960,1,Substantial,N563AP,Airplane,HAWKER BEECHCRAFT CORP,G36,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
84961,1,Substantial,N41HC,Airplane,BEECH,A36,Part 91: General aviation,Personal,,Takeoff,Abnormal Runway Contact
84964,1,Substantial,N484PC,Airplane,HOLLOMAN L B/HOLLOMAN E M,SONEX,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
84965,1,Substantial,N4431F,Airplane,CESSNA,L-19E,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
84967,1,Substantial,N51140,Gyroplane,KORRISON TOM,SPARROW HAWK,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
84968,1,Substantial,N212SH,Helicopter,ROBINSON HELICOPTER,R22 BETA,Part 91: General aviation,Instructional,,Maneuvering,Loss of Control on Ground
84969,1,Substantial,N5577N,Airplane,GOODYEAR,F2G,Part 91: General aviation,Air race/show,,Maneuvering,Low Altitude Operation
84970,1,Substantial,N395AA,Airplane,AVIAT AIRCRAFT INC,A-1B,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
84971,1,Substantial,N21MX,Airplane,MOORE EDWARD R,MXS,Part 91: General aviation,Personal,,Maneuvering,System/Component Failure - Non-power
84972,1,Substantial,N70108,Airplane,PIPER,J3C-65,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
84974,1,Substantial,N5745Y,Helicopter,BELL HELICOPTER TEXTRON,206L-1,Part 91: General aviation,Flight test,,Emergency Descent,System/Component Failure - Powerplant
84975,1,Substantial,N3224G,Airplane,BEECH,A36,Part 91: General aviation,Personal,,Enroute,Loss of Control In-Flight
84979,1,Substantial,N149G,Airplane,BEECH,V35,Part 91: General aviation,Personal,,Landing,Other
84981,1,Substantial,N635CP,Airplane,CESSNA,182T,Part 91: General aviation,Other work use,,Landing,Abnormal Runway Contact
84982,1,Destroyed,N717EW,Gyroplane,WIGGINS,AIR BOSS,Part 91: General aviation,Flight test,,Initial Climb,Loss of Control In-Flight
84986,1,Substantial,N3261,Airplane,PITCAIRN,PA-4,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
84987,1,Substantial,N3702F,Airplane,GREAT LAKES,2T-1A-2,Part 91: General aviation,Instructional,,Maneuvering,System/Component Failure - Powerplant
84988,1,Substantial,N550YS,Airplane,SCHOEPFLIN,DA-4-550,Part 91: General aviation,Business,,Maneuvering,Loss of Control In-Flight
84989,1,Substantial,N80SS,Airplane,CESSNA,A185F,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
84990,1,Substantial,N2484L,Airplane,CESSNA,172H,Part 91: General aviation,Personal,,Landing,Loss of Control In-Flight
84991,1,Substantial,N863AF,Airplane,GROB-WERKE,G 120A,Part 91: General aviation,Instructional,,Takeoff,Loss of Control on Ground
84992,1,Substantial,N8106C,Ultralight,ELLEFSON,T-BIRD II,Part 91: General aviation,Personal,,Takeoff,Loss of Control In-Flight
84993,1,Substantial,N281RG,Helicopter,ROBINSON HELICOPTER,R22 BETA,Part 91: General aviation,Aerial observation,,Emergency Descent,Loss of Control In-Flight
84999,1,Substantial,N331DP,Airplane,BEECH,35-C33,Part 91: General aviation,Personal,,Landing,Abnormal Runway Contact
85000,1,Substantial,N6493N,Airplane,CESSNA,T210N,Part 91: General aviation,Personal,,Initial Climb,System/Component Failure - Powerplant
85001,1,Substantial,N7655Z,Airplane,PIPER,PA-25-235,Part 137: Agricultural,Aerial application,,Maneuvering,System/Component Failure - Powerplant
85005,1,Substantial,N3214D,Airplane,PIPER,PA-18-150,Part 91: General aviation,Personal,,Approach,System/Component Failure - Powerplant
85006,1,Substantial,N1129T,Airplane,BEECH,V35B,Part 91: General aviation,Personal,,Takeoff,Abnormal Runway Contact
85008,1,Substantial,N2878V,Airplane,PIPER,PA-28RT-201,Part 91: General aviation,Instructional,,Maneuvering,System/Component Failure - Powerplant
85010,1,Substantial,N824KS,Airplane,CESSNA,172R,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
85013,1,Substantial,N3014V,Airplane,BEECH,35,Part 91: General aviation,Instructional,,Approach,Loss of Control In-Flight
85016,1,Substantial,N4007B,Airplane,Ison Aircraft,Eros,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
85018,1,Substantial,N6744J,Airplane,SCHNEIDER JOHN W,PT-2A,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
85019,1,Substantial,N4842P,Airplane,PIPER,PA-23-250,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
85021,1,Substantial,N9965P,Airplane,CESSNA,172S,Part 91: General aviation,Instructional,,Landing,Abnormal Runway Contact
85023,1,Substantial,N4651V,Airplane,VARGA AIRCRAFT CORP.,2150A,Part 91: General aviation,Personal,,Landing,Collision on Takeoff or Landing
85023,2,Minor,N3793F,Airplane,GREAT LAKES,2T-1A-2,Part 91: General aviation,Personal,,Landing,Collision on Takeoff or Landing
85024,1,Substantial,N464EH,Airplane,"HALDERMAN, FLOYD G.",RV-6A,Part 91: General aviation,Flight test,,Initial Climb,System/Component Failure - Powerplant
85025,1,Substantial,N554E,Powered parachute,POWRACHUTE,PEGASUS,Part 91: General aviation,Personal,,Maneuvering,Other
85026,1,Substantial,N936LS,Airplane,SEYMOUR,SKYRANGER,Part 91: General aviation,Personal,,Enroute,Unknown
85027,1,Substantial,N9723K,Airplane,STINSON,108-2,Part 91: General aviation,Personal,,Landing,Loss of Control on Ground
85028,1,Substantial,N517DG,Airplane,HALL DON H,RV-7,Part 91: General aviation,Personal,,Maneuvering,Loss of Control In-Flight
85033,1,Substantial,N90RW,Airplane,CESSNA,180,Part 91: General aviation,Instructional,,Initial Climb,Loss of Control In-Flight
85034,1,Substantial,N935B,Airplane,Bruce M Barrett,STOLP STARLET SA500,Part 91: General aviation,Personal,,Enroute,System/Component Failure - Powerplant
85035,1,Substantial,N543AR,Airplane,CESSNA,170B,Part 91: General aviation,Personal,,Takeoff,Loss of Control on Ground
85036,1,Substantial,N7971W,Airplane,PIPER,PA-28-180,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
85037,1,Substantial,N436KS,Airplane,CIRRUS DESIGN CORP,SR22,Part 91: General aviation,Personal,,Approach,Loss of Control In-Flight
85040,1,Destroyed,N850GB,Weight-shift,NORTH WING DESIGN,APACHE SPORT,Part 91: General aviation,Personal,,Initial Climb,Loss of Control In-Flight
85042,1,Substantial,N4188E,Airplane,PIPER,PA-28-181,Part 91: General aviation,Instructional,,Enroute,Low Altitude Operation
