MKey,AircraftNumber,Category,Subcategory,Section,Subsection,ModifierName
88682,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
88682,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
88687,1,Not determined,Not determined,(general),(general),Unknown/Not determined
88687,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
88687,1,Environmental issues,Physical environment,Object/animal/substance,Aircraft,Contributed to outcome
88687,2,Personnel issues,Action/decision,Action,(general),Pilot of other aircraft
88687,2,Environmental issues,Physical environment,Object/animal/substance,Aircraft,Contributed to outcome
88689,1,Not determined,Not determined,(general),(general),Unknown/Not determined
88690,1,Environmental issues,Physical environment,Object/animal/substance,Sign/marker,Contributed to outcome
88690,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Response/compensation
88690,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not specified
88691,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
88691,1,Aircraft,Fluids/misc hardware,Fluids,Oil,Fluid level
88691,1,Personnel issues,Physical,Health/Fitness,Physical fitness,Pilot
88691,1,Personnel issues,Physical,Health/Fitness,Predisposing condition,Pilot
88691,1,Personnel issues,Action/decision,Action,Forgotten action/omission,Pilot
88694,1,Personnel issues,Task performance,Inspection,Post maintenance inspection,Maintenance personnel
88694,1,Aircraft,Aircraft handling/service,Maintenance/inspections,Return to service,Incorrect service/maintenance
88694,1,Aircraft,Aircraft handling/service,Maintenance/inspections,(general),Inadequate inspection
88695,1,Aircraft,Aircraft propeller/rotor,Main rotor drive,Engine/transmission coupling,Incorrect use/operation
88695,1,Personnel issues,Task performance,Inspection,Scheduled/routine inspection,Maintenance personnel
88695,1,Aircraft,Aircraft propeller/rotor,Main rotor drive,Engine/transmission coupling,Not inspected
88695,1,Personnel issues,Task performance,Maintenance,Modification/alteration,Maintenance personnel
88695,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
88695,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
88695,1,Personnel issues,Task performance,Maintenance,Scheduled/routine maintenance,Maintenance personnel
88695,1,Aircraft,Aircraft propeller/rotor,Main rotor drive,Engine/transmission coupling,Damaged/degraded
88697,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Prop/rotor parameters,Not attained/maintained
88697,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88697,1,Environmental issues,Physical environment,Terrain,Sloped/uneven terrain,Contributed to outcome
88697,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,High density altitude,Effect on operation
88701,1,Personnel issues,Action/decision,Action,Incorrect action performance,Pilot
88701,1,Aircraft,Aircraft propeller/rotor,Main rotor system,Main rotor blade system,Not specified
88701,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Contributed to outcome
88701,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Contributed to outcome
88701,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
88703,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller hub section,Failure
88703,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller assembly,Incorrect service/maintenance
88705,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Attain/maintain not possible
88705,1,Not determined,Not determined,(general),(general),Unknown/Not determined
88705,1,Aircraft,Aircraft systems,Landing gear system,Tube,Failure
88706,1,Aircraft,Aircraft systems,Landing gear system,Aux gear (tail/rotorcrft skid),Capability exceeded
88706,1,Personnel issues,Action/decision,Action,Incorrect action performance,Instructor/check pilot
88708,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid condition
88709,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88709,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Instructor/check pilot
88710,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
88710,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88710,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Contributed to outcome
88715,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
88715,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
88715,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
88716,1,Personnel issues,Action/decision,Action,Incomplete action,Pilot
88716,1,Aircraft,Aircraft systems,Fuel system,Fuel selector/shutoff valve,Incorrect use/operation
88718,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
88718,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88718,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88718,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Effect on personnel
88721,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88721,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88722,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88722,1,Environmental issues,Conditions/weather/phenomena,Turbulence,Terrain induced turbulence,Contributed to outcome
88723,1,Aircraft,Aircraft structures,Wing structure,(general),Failure
88723,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Attain/maintain not possible
88724,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
88724,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
88724,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Effect on operation
88726,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
88726,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
88726,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88726,1,Environmental issues,Physical environment,Terrain,Snowy/icy terrain,Contributed to outcome
88728,1,Aircraft,Aircraft systems,Electrical power system,AC generator-alternator,Failure
88728,1,Personnel issues,Action/decision,Action,(general),Flight crew
88728,1,Aircraft,Aircraft systems,Electrical power system,AC generator-alternator,Design
88731,1,Aircraft,Aircraft systems,Hydraulic power system,"Hydraulic, main system",Failure
88732,1,Personnel issues,Action/decision,Action,Forgotten action/omission,Pilot
88732,1,Aircraft,Aircraft systems,Fuel system,(general),Incorrect use/operation
88736,1,Aircraft,Aircraft systems,Landing gear system,Nose/tail landing gear,Incorrect service/maintenance
88736,1,Personnel issues,Task performance,Record-keeping,Aircraft/maintenance logs,Pilot
88736,1,Aircraft,Aircraft systems,Landing gear system,Nose/tail landing gear,Failure
88736,1,Aircraft,Aircraft systems,Landing gear system,Nose/tail landing gear,Failure
88736,1,Personnel issues,Task performance,Maintenance,Scheduled/routine maintenance,Owner/builder
88736,1,Aircraft,Aircraft handling/service,Maintenance/inspections,Scheduled maint checks,Not inspected
88736,1,Aircraft,Aircraft handling/service,Maintenance/inspections,Scheduled maint checks,Not serviced/maintained
88737,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
88737,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88737,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Response/compensation
88738,1,Organizational issues,Management,Policy/procedure,Adequacy of policy/proc,Manufacturer
88738,1,Aircraft,Aircraft systems,Landing gear system,Main landing gear attach sec,Fatigue/wear/corrosion
88738,1,Aircraft,Aircraft handling/service,Maintenance/inspections,Scheduled maint checks,Not installed/available
88739,1,Personnel issues,Action/decision,Info processing/decision,Identification/recognition,Pilot
88739,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88739,1,Organizational issues,Management,Policy/procedure,Adequacy of policy/proc,FAA/Regulator
88739,1,Environmental issues,Conditions/weather/phenomena,Turbulence,Wake turbulence,Decision related to condition
88739,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Attain/maintain not possible
