MKey,AircraftNumber,Category,Subcategory,Section,Subsection,ModifierName
88830,1,Aircraft,Aircraft power plant,Engine fuel and control,Fuel flow indicating,Incorrect service/maintenance
88830,1,Personnel issues,Task performance,Maintenance,Installation,Maintenance personnel
88831,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88831,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
88834,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
88834,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
88834,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
88834,1,Personnel issues,Physical,Impairment/incapacitation,Neurological,Pilot
88836,1,Aircraft,Aircraft power plant,Accessory gear-boxes,(general),Fatigue/wear/corrosion
88836,1,Aircraft,Aircraft power plant,Accessory gear-boxes,(general),Not serviced/maintained
88836,1,Aircraft,Aircraft power plant,Accessory gear-boxes,(general),Related maintenance info
88836,1,Organizational issues,Management,Policy/procedure,Availability of policy/proc,Manufacturer
88838,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
