MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel
102590,CEN21LA121,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102590/pdf,2/2/2021,Hackberry,Louisiana,United States,30.009412,-93.330048,2,0,Fatal
102592,ERA21LA122,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102592/pdf,2/2/2021,Leicester,Massachusetts,United States,42.276667,-71.959444,,2,Non-Fatal
102595,WPR21LA100,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102595/pdf,1/14/2021,Kelso,Washington,United States,46.12,-122.9,,,Non-Fatal
102596,ERA21LA123,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102596/pdf,1/22/2021,Homestead,Florida,United States,25.130773,-81.035603,0,0,Non-Fatal
102598,CEN21LA123,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102598/pdf,2/3/2021,Weidman,Michigan,United States,43.720649,-85.002243,,,Non-Fatal
102603,WPR21LA104,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102603/pdf,2/4/2021,Riverside ,California,United States,33.985824,-117.41613,,,Non-Fatal
102607,WPR21LA106,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102607/pdf,2/5/2021,Thermal,California,United States,33.62,-116.15,,,Non-Fatal
102608,WPR21LA107,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102608/pdf,2/5/2021,Horseshoe Bend ,Idaho,United States,44.00019,-116.13546,,1,Non-Fatal
102609,ERA21LA124,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102609/pdf,2/7/2021,Belvidere ,Tennessee,United States,35.086901,-86.072045,2,0,Fatal
102610,ERA21LA125,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102610/pdf,2/7/2021,Columbia,South Carolina,United States,34,-80,0,0,Non-Fatal
102611,ERA21LA126,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102611/pdf,2/4/2021,Pahokee,Florida,United States,26.746586,-80.655618,0,0,Non-Fatal
102612,CEN21LA124,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102612/pdf,1/12/2021,Lafayette,Indiana,United States,40.318149,-86.861809,,,Non-Fatal
102614,WPR21LA108,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102614/pdf,2/7/2021,Saratoga,Wyoming,United States,42.1,-107.58,,,Non-Fatal
102615,ERA21LA127,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102615/pdf,2/9/2021,Thonotosassa,Florida,United States,28.0833,-82.2666,0,0,Non-Fatal
102616,CEN21FA125,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102616/pdf,2/8/2021,Galt,Missouri,United States,40.10722,-93.37464,2,,Fatal
102621,ERA21LA128,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102621/pdf,2/8/2021,Orange,Virginia,United States,38.247194,-78.045611,0,0,Non-Fatal
102623,CEN21LA126,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102623/pdf,2/7/2021,Urbana,Ohio,United States,40.130746,-83.754296,,,Non-Fatal
102626,WPR21LA109,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102626/pdf,2/8/2021,Mesa,Arizona,United States,33.461769,-111.73046,,,Non-Fatal
102629,WPR21LA110,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102629/pdf,2/13/2021,San Diego,California,United States,32.81511,-117.14104,,,Non-Fatal
102630,WPR21LA111,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102630/pdf,2/13/2021,Tehachapi,California,United States,35.000407,-118.3874,1,,Fatal
102631,GAA21WA020,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102631/pdf,1/28/2021,Guerrero Negro,,Mexico,28.026644,-114.02475,,,Non-Fatal
102632,CEN21LA127,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102632/pdf,2/12/2021,Prairie du Sac,Wisconsin,United States,43.297731,-89.755693,,,Non-Fatal
102634,ERA21FA130,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102634/pdf,2/15/2021,St Thomas,Caribbean Sea,United States,18.354444,-65.027778,4,,Fatal
102635,CEN21LA129,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102635/pdf,2/5/2021,Larned,Kansas,United States,38.1806,-99.0987,,,Non-Fatal
102636,CEN21FA130,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102636/pdf,2/16/2021,Janesville,Wisconsin,United States,42.595377,-89.030245,2,,Fatal
102639,ANC21LA017,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102639/pdf,2/13/2021,Tyonek,Alaska,United States,61.336392,-152.01643,,,Non-Fatal
102640,ERA21LA131,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102640/pdf,2/10/2021,Lake Placid,Florida,United States,27.245,-81.414,0,0,Non-Fatal
102641,ERA21LA132,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102641/pdf,2/17/2021,Indian Head,Maryland,United States,38.585556,-77.067778,,,Non-Fatal
102642,WPR21LA112,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102642/pdf,2/8/2021,Price,Utah,United States,39.613889,-110.75161,0,0,Non-Fatal
102645,WPR21LA113,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102645/pdf,2/16/2021,Quartzite,Arizona,United States,33.57,-114.25,,,Non-Fatal
102650,CEN21LA132,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102650/pdf,2/17/2021,Lubbock,Texas,United States,33.566281,-101.87793,,,Non-Fatal
102651,WPR21FA114,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102651/pdf,2/19/2021,Los Angeles,California,United States,33.724105,-118.25217,1,,Fatal
102653,ERA21FA133,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102653/pdf,2/20/2021,Vinemont,Alabama,United States,34.266174,-86.864702,2,0,Fatal
102655,GAA21WA025,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102655/pdf,2/20/2021,Cat Cay,Other Foreign,Bahamas,,,0,0,Non-Fatal
102656,GAA21WA026,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102656/pdf,2/2/2021,Toulouse,Other Foreign,France,43.601839,1.44961,,,Non-Fatal
102658,ERA21LA134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102658/pdf,2/22/2021,St. Marys,Pennsylvania,United States,41.412288,-78.498793,0,0,Non-Fatal
102659,ERA21FA135,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102659/pdf,2/22/2021,Mayfield,Kentucky,United States,36.779157,-88.584105,1,0,Fatal
102660,GAA21WA027,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102660/pdf,2/20/2021,Ilopango,Other Foreign,El Salvador,,,3,1,Fatal
102661,CEN21LA133,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102661/pdf,2/9/2021,Alamo,Texas,United States,26.153131,-98.135008,0,0,Non-Fatal
102662,CEN21LA134,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102662/pdf,2/21/2021,Indianapolis,Indiana,United States,39.935389,-86.045068,,,Non-Fatal
102663,CEN21LA135,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102663/pdf,2/22/2021,Greensburg,Louisiana,United States,30.830033,-90.668565,,,Non-Fatal
102667,ERA21LA136,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102667/pdf,2/24/2021,North Hampton,New Hampshire,United States,42.961567,-70.830254,,1,Non-Fatal
102669,WPR21LA117,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102669/pdf,2/7/2021,Redmond,Oregon,United States,44.254102,-121.15058,,,Non-Fatal
102670,ERA21LA137,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102670/pdf,2/24/2021,Winchester,Virginia,United States,39.168343,-78.356481,,,Non-Fatal
102672,CEN21LA137,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102672/pdf,2/22/2021,Kansas City,Missouri,United States,39.124939,-94.592276,,,Non-Fatal
102675,ERA21LA138,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102675/pdf,2/25/2021,Panama City,Florida,United States,30.071363,-85.568849,0,2,Non-Fatal
102676,CEN21LA138,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102676/pdf,2/24/2021,Millville,Iowa,United States,42.7,-91.0743,,,Non-Fatal
102677,WPR21LA118,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102677/pdf,2/24/2021,St Johns,Arizona,United States,34.518556,-109.37875,,,Non-Fatal
102679,WPR21LA119,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102679/pdf,2/23/2021,Livermore,California,United States,37.699086,-121.81075,,,Non-Fatal
102680,ERA21LA139,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102680/pdf,2/22/2021,Fort Pierce,Florida,United States,27.497472,-80.372639,,,Non-Fatal
102681,ERA21FA140,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102681/pdf,2/26/2021,Gainesville,Georgia,United States,34.262222,-83.848611,3,0,Fatal
102682,ERA21LA141,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102682/pdf,2/24/2021,Atlantic Ocean,Atlantic Ocean,United States,26.178064,-79.920067,1,0,Fatal
102683,ERA21FA142,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102683/pdf,2/28/2021,Jupiter,Florida,United States,26.978355,-80.211607,1,1,Fatal
